Cluster 1 - Alle Spieler:

             PLAYER_NAME TEAM_ABBREVIATION  AGE   REB_AVG  AST_AVG  TOV_AVG  STL_AVG  BLK_AVG   PF_AVG  PFD_AVG   PTS_AVG  PLUS_MINUS_AVG  HEIGHT  WEIGHT
           Miles McBride               NYK 24.0  2.515625 2.921875 0.640625 1.046875 0.265625 1.687500 1.078125  9.546875        3.296875      73   195.0
             Moses Moody               GSW 23.0  2.554054 1.297297 0.729730 0.797297 0.418919 1.567568 1.405405  9.783784        1.783784      77   211.0
           Naji Marshall               DAL 27.0  4.753623 3.014493 1.623188 1.014493 0.159420 1.579710 1.710145 13.246377       -1.985507      78   220.0
             Nic Claxton               BKN 26.0  7.357143 2.242857 1.242857 0.885714 1.428571 2.142857 2.557143 10.342857       -7.100000      83   215.0
Nickeil Alexander-Walker               MIN 26.0  3.231707 2.719512 1.207317 0.609756 0.414634 1.695122 1.695122  9.426829        3.292683      77   205.0
           Norman Powell               LAC 32.0  3.166667 2.083333 1.800000 1.216667 0.150000 1.900000 3.466667 21.766667        5.866667      76   215.0
              Obi Toppin               IND 27.0  4.025316 1.620253 0.860759 0.582278 0.354430 1.367089 1.126582 10.544304       -0.974684      81   220.0
         P.J. Washington               DAL 26.0  7.754386 2.298246 2.070175 1.105263 1.052632 2.298246 2.771930 14.666667        0.859649      78   230.0
          Paolo Banchero               ORL 22.0  7.500000 4.760870 2.956522 0.782609 0.608696 2.108696 5.760870 25.891304       -0.456522      82   250.0
             Paul George               PHI 35.0  5.341463 4.341463 2.585366 1.829268 0.487805 2.463415 2.682927 16.219512       -2.024390      80   220.0
        Payton Pritchard               BOS 27.0  3.837500 3.487500 1.037500 0.875000 0.175000 1.475000 1.075000 14.300000        5.375000      73   195.0
          Quentin Grimes               PHI 25.0  4.320000 3.040000 1.880000 0.986667 0.293333 1.840000 2.320000 14.560000       -3.480000      76   210.0
              RJ Barrett               TOR 25.0  6.310345 5.413793 2.862069 0.793103 0.293103 2.362069 4.017241 21.086207       -2.396552      78   214.0
           Royce O'Neale               PHX 32.0  4.653333 2.173333 0.866667 0.893333 0.440000 2.013333 0.413333  9.066667       -2.066667      78   226.0
           Rui Hachimura               LAL 27.0  5.000000 1.406780 0.830508 0.762712 0.440678 1.779661 1.440678 13.135593        2.677966      80   230.0
            Santi Aldama               MEM 24.0  6.400000 2.892308 1.092308 0.800000 0.446154 1.169231 1.276923 12.476923        2.292308      84   215.0
