Cluster 3 - Alle Spieler:

 AGE  OFF_RATING_Advanced  DEF_RATING_Advanced  NET_RATING_Advanced  E_TOV_PCT_Advanced  EFG_PCT_Advanced  USG_PCT_Advanced  PACE_Advanced  PIE_Advanced  POSS_Advanced  USG_PCT_Usage  PCT_FGM_Usage  PCT_FG3M_Usage  PCT_FTM_Usage  PCT_OREB_Usage  PCT_DREB_Usage  PCT_AST_Usage  PCT_TOV_Usage  PCT_STL_Usage  PCT_BLK_Usage  PCT_PF_Usage  PCT_PFD_Usage  PCT_PTS_2PT_Scoring  PCT_PTS_2PT_MR_Scoring  PCT_PTS_3PT_Scoring  PCT_PTS_FB_Scoring  PCT_PTS_FT_Scoring  OPP_PTS_OFF_TOV_Defense  OPP_PTS_2ND_CHANCE_Defense  OPP_PTS_FB_Defense  OPP_PTS_PAINT_Defense  DEF_WS_Defense  DEF_WS_RAW_Defense
33.0                106.1                106.3                 -0.2                 9.1             0.420             0.111          98.84         0.061           1308          0.111          0.087           0.113          0.088           0.200           0.090          0.235          0.107          0.278          0.203         0.106          0.137                0.400                   0.032                0.480               0.048               0.120                      233                         171                 195                    644            3.03            3.025227
21.0                114.1                106.4                  7.7                11.7             0.702             0.132         100.99         0.124           1746          0.132          0.184           0.000          0.155           0.493           0.275          0.186          0.161          0.130          0.544         0.313          0.166                0.854                   0.000                0.000               0.089               0.146                      290                         269                 240                    864            3.94            3.938877
23.0                108.9                102.9                  6.0                12.1             0.444             0.131         101.09         0.066           1164          0.131          0.111           0.095          0.092           0.248           0.236          0.193          0.185          0.143          0.080         0.232          0.106                0.519                   0.015                0.356               0.104               0.125                      157                         170                 139                    472            3.13            3.128443
28.0                106.7                114.8                 -8.1                12.8             0.601             0.149         102.72         0.111           1598          0.149          0.189           0.014          0.169           0.382           0.323          0.143          0.161          0.105          0.520         0.201          0.223                0.800                   0.007                0.032               0.043               0.168                      322                         205                 286                    786            1.78            1.777899
29.0                108.0                114.5                 -6.5                 7.4             0.524             0.162         102.71         0.077           1009          0.162          0.182           0.248          0.109           0.326           0.172          0.116          0.099          0.141          0.368         0.253          0.086                0.371                   0.000                0.526               0.021               0.103                      191                         133                 183                    502            1.14            1.141536
33.0                108.6                109.7                 -1.1                11.8             0.705             0.073         102.17         0.073           1172          0.073          0.091           0.016          0.126           0.416           0.202          0.226          0.107          0.188          0.420         0.403          0.212                0.702                   0.000                0.053               0.105               0.245                      190                         172                 195                    578            2.10            2.099057
31.0                 99.7                113.1                -13.4                16.9             0.332             0.151         101.30         0.079           1076          0.151          0.096           0.009          0.031           0.139           0.177          0.544          0.376          0.273          0.186         0.190          0.072                0.918                   0.047                0.035               0.071               0.047                      200                         176                 180                    498            1.43            1.430685
36.0                111.0                116.4                 -5.4                 8.8             0.564             0.140          99.62         0.067           1601          0.140          0.136           0.265          0.125           0.053           0.087          0.176          0.116          0.178          0.169         0.096          0.110                0.233                   0.015                0.632               0.105               0.135                      303                         246                 258                    826            1.42            1.424941
20.0                112.7                118.6                 -5.9                11.2             0.452             0.219         102.73         0.064            977          0.219          0.177           0.267          0.197           0.205           0.215          0.112          0.225          0.179          0.086         0.149          0.208                0.402                   0.029                0.459               0.230               0.139                      184                         182                 166                    496            0.55            0.550081
28.0                107.9                111.4                 -3.5                 8.1             0.562             0.153         105.43         0.068           1824          0.153          0.148           0.336          0.191           0.070           0.129          0.122          0.114          0.174          0.158         0.242          0.192                0.096                   0.017                0.722               0.125               0.182                      308                         242                 262                    804            2.74            2.741341
